36000,0,1,580,0.283333,0.300000,9.59,2.00,-0.33,-0.64,-0.05,0.00,0,0,0,
36628,0,1,580,0.283333,0.300000,9.61,1.87,-0.47,-0.20,0.06,-0.21,0,0,0,
37277,0,1,401,0.283333,0.300000,6.90,6.81,-1.40,0.04,-0.15,0.20,0,0,0,
38005,0,1,323,0.283333,0.300000,-3.29,9.01,2.02,0.45,0.39,-0.01,0,0,0,
38632,0,1,123,0.283333,0.300000,-8.97,3.87,0.73,-0.02,-0.72,-0.24,0,0,0,
39290,0,1,103,0.283333,0.300000,-8.42,4.92,0.94,-0.40,-0.45,0.05,0,0,0,
40026,0,1,226,0.283333,0.300000,-2.42,9.46,-0.84,-0.36,0.25,0.22,0,0,0,
40660,0,1,308,0.283333,0.300000,-1.61,9.52,-1.68,0.17,-0.36,0.18,0,0,0,
41345,0,1,543,0.283333,0.300000,4.65,8.46,-1.66,0.47,-1.92,0.33,0,0,0,
42012,0,1,306,0.283333,0.300000,9.70,0.29,-1.35,-0.05,2.54,0.90,0,0,0,
42639,0,1,267,0.283333,0.300000,9.75,-0.59,0.75,-0.12,-1.05,-1.15,0,0,0,
43296,0,1,240,0.283333,0.300000,9.69,-1.41,0.30,-1.15,-1.15,0.59,0,0,0,
44033,0,1,163,0.283333,0.300000,9.69,-1.41,0.31,0.91,-0.19,-0.90,0,0,0,
44660,0,1,150,0.283333,0.300000,9.79,-0.48,-0.13,0.72,0.24,0.54,0,0,0,
45352,0,1,19,0.283333,0.300000,9.75,-0.99,-0.31,-0.18,-0.77,-0.53,0,0,0,
46009,0,1,0,0.283333,0.300000,9.65,-1.29,-1.16,-0.44,0.79,-0.23,0,0,0,
46636,0,1,0,0.283333,0.300000,9.65,-0.98,-1.41,-0.31,-0.09,-0.16,0,0,0,
47277,0,1,0,0.283333,0.300000,9.65,-0.75,-1.56,-0.20,0.29,0.21,0,0,0,
48007,0,1,0,0.283333,0.300000,9.70,0.14,-1.37,-0.82,0.83,-0.30,0,0,0,
48622,0,1,0,0.283333,0.300000,9.63,-0.20,-1.78,0.30,0.20,0.48,0,0,0,
49276,0,1,1,0.283333,0.300000,9.73,0.76,-0.94,-0.09,-0.16,-0.20,0,0,0,
50014,0,1,0,0.283333,0.300000,9.75,0.62,-0.75,-0.59,0.24,0.61,0,0,0,
50628,0,1,8,0.283333,0.300000,8.17,2.67,4.71,-0.23,0.26,-1.24,0,0,0,
51275,0,1,19,0.283333,0.300000,3.24,7.31,5.66,-0.31,-0.01,0.68,0,0,0,
52022,0,1,20,0.283333,0.300000,3.49,7.31,5.51,-0.09,-0.88,-0.23,0,0,0,
52640,0,1,26,0.283333,0.300000,0.60,6.40,7.40,-0.30,-0.53,-0.86,0,0,0,
53296,0,1,20,0.283333,0.300000,-1.09,7.37,6.36,-0.21,-0.10,0.50,0,0,0,
54017,1,1,14,0.283333,0.300000,-0.33,7.25,6.58,-0.26,-0.34,-0.30,0,0,0,
54255,1,1,13,0.283333,0.300000,0.75,7.37,6.41,-0.18,0.05,0.23,0,0,0,
54489,1,1,13,0.283333,0.300000,1.39,7.27,6.42,-0.11,0.10,-0.11,0,0,0,
54722,1,1,13,0.283333,0.300000,1.78,7.24,6.36,-0.03,-0.36,-0.12,0,0,0,
55028,1,1,13,0.283333,0.300000,2.19,7.25,6.21,-0.12,0.02,-0.04,0,0,0,
55264,1,1,13,0.283333,0.300000,2.17,7.32,6.14,-0.06,0.03,0.00,0,0,0,
55497,1,1,13,0.283333,0.300000,2.06,7.31,6.19,-0.13,-0.18,-0.02,0,0,0,
55733,1,1,13,0.283333,0.300000,2.01,7.30,6.22,-0.30,-0.25,0.00,0,0,0,
56023,1,1,13,0.283333,0.300000,2.28,6.98,6.49,-0.13,0.01,0.07,0,0,0,
56258,1,1,13,0.283333,0.300000,2.56,6.33,7.03,-0.04,-0.08,-0.47,0,0,0,
56494,1,1,13,0.283333,0.300000,3.04,6.89,6.27,-0.05,0.27,-0.19,0,0,0,
56730,1,1,13,0.283333,0.300000,4.38,5.95,6.44,0.06,0.00,-0.27,0,0,0,
57015,1,1,9,0.283333,0.300000,7.15,4.52,4.95,-0.05,0.47,-0.29,0,0,0,
57248,1,1,8,0.283333,0.300000,7.78,4.43,3.98,-0.12,0.21,0.62,0,0,0,
57481,1,1,6,0.283333,0.300000,8.30,4.05,3.27,-0.62,0.21,-0.46,0,0,0,
57715,1,1,7,0.283333,0.300000,8.48,3.78,3.14,0.16,0.00,-0.11,0,0,0,
58028,1,1,8,0.283333,0.300000,8.28,3.59,3.81,-0.07,-0.33,0.07,0,0,0,
58262,1,1,7,0.283333,0.300000,9.08,2.34,2.85,-0.37,1.16,0.10,0,0,0,
58498,1,1,7,0.283333,0.300000,9.11,2.29,2.78,0.30,0.34,0.30,0,0,0,
58729,1,1,6,0.283333,0.300000,9.14,2.38,2.61,0.34,0.37,0.15,0,0,0,
